iter	Passed	Remaining
482	285060	5616822
483	286369	5630356
484	287147	5633415
485	287906	5636090
486	288748	5640377
487	289962	5651897
488	291284	5665452
489	291980	5666799
490	292705	5668716
491	293381	5669659
492	294062	5670699
493	295102	5678629
494	295518	5674555
495	296288	5677272
496	296943	5677782
497	297457	5675588
498	297913	5672306
499	298626	5673909
500	299446	5677536
501	300847	5692124
502	302253	5706765
503	303000	5708916
504	303764	5711371
505	304594	5715055
506	305245	5715373
507	305852	5714873
508	306638	5717696
509	307231	5716916
510	307854	5716690
511	308505	5716999
512	309152	5717212
513	309745	5716438
514	310668	5721730
515	312025	5734980
516	312667	5735055
517	313272	5734464
518	313649	5729690
519	314409	5731924
520	315314	5736781
521	315917	5736140
522	316541	5735874
523	317056	5733645
524	317757	5734773
525	318484	5736346
526	318761	5729850
527	319305	5728144
528	320025	5729611
529	321084	5737114
530	323017	5760169
531	324437	5774010
532	325495	5781357
533	325760	5774619
534	326633	5778659
535	327203	5777345
536	327796	5776424
537	328547	5778281
538	328932	5773707
539	329840	5778309
540	330777	5783414
541	331390	5782819
542	331935	5781057
543	332594	5781266
544	332739	5772566
545	333321	5771465
546	333853	5769495
547	334441	5768513
548	334955	5766234
549	335521	5764862
550	336123	5764122
551	336781	5764331
552	337277	5761766
553	337906	5761494
554	338099	5753786
555	338719	5753350
556	339222	5750947
557	339823	5750205
558	340464	5750136
559	341055	5749226
560	341515	5746096
561	342081	5744780
562	342840	5746687
563	343253	5742794
564	343840	5741827
565	344496	5742019
566	345181	5742671
567	345850	5743065
568	346853	5748992
569	347864	5755027
570	348455	5754089
571	349252	5756558
572	350180	5761174
573	350991	5763836
574	351815	5766719
575	352615	5769179
576	353275	5769355
577	354041	5771250
578	354812	5773207
579	355435	5772763
580	356037	5771978
581	356774	5773375
582	357036	5767083
583	357546	5764829
584	358016	5761915
585	358765	5763515
586	359405	5763350
587	359977	5762093
588	360631	5762139
589	361248	5761606
590	361946	5762362
591	362661	5763371
592	363540	5766996
593	364758	5775950
594	366287	5789803
595	367143	5792984
596	367801	5793035
597	368580	5794976
598	369162	5793813
599	370208	5799930
600	371238	5805768
601	372251	5811329
602	373403	5819028
603	374576	5827028
604	375450	5830336
605	376307	5833394
606	376839	5831389
607	377842	5836674
608	379586	5853367
609	380745	5860981
610	382151	5872378
611	383326	5880176
612	385187	5898458
613	386050	5901414
614	387393	5911681
615	388817	5923148
616	390271	5935030
617	391114	5937605
618	391750	5937019
619	392500	5938156
620	393265	5939507
621	394144	5942586
622	394922	5944115
623	395738	5946217
624	396502	5947542
625	397224	5948215
626	398526	5957557
627	399592	5963346
628	400269	5963312
629	400912	5962783
630	401787	5965683
631	402540	5966776
632	403196	5966420
633	404492	5975508
634	405550	5981076
635	406178	5980281
636	406857	5980235
637	407559	5980519
638	408327	5981779
639	409141	5983690
640	409874	5984423
641	410983	5990635
642	411912	5994190
643	412647	5994923
644	413760	6001129
645	414775	6005903
646	415458	6005842
647	416101	6005218
648	416777	6005062
649	417400	6004150
650	418026	6003278
651	419143	6009439
652	420196	6014661
653	420589	6010440
654	422141	6022761
655	424018	6039671
656	424887	6042202
657	425784	6045101
658	426612	6047020
659	427321	6047244
660	428328	6051679
661	429161	6053635
662	429906	6054357
663	430564	6053834
664	431301	6054441
665	432012	6054657
666	432564	6052666
667	433485	6055822
668	434255	6056855
669	434914	6056342
670	435994	6061687
671	436787	6063019
672	437580	6064363
673	438291	6064550
674	438947	6063980
675	439708	6064857
676	440329	6063793
677	440974	6063068
678	441693	6063371
679	442332	6062557
680	442683	6057806
681	443372	6057689
682	444288	6060662
683	445007	6060955
684	445825	6062570
685	446691	6064851
686	447253	6062979
687	447926	6062629
688	448780	6064723
689	449643	6066930
690	450313	6066528
691	451053	6067057
692	451668	6065907
693	452338	6065507
694	452999	6064982
695	453653	6064359
696	454322	6063929
697	455066	6064515
698	455734	6064076
699	456431	6064013
700	457124	6063911
701	458134	6067996
702	459526	6077127
703	460679	6083069
704	462247	6094448
705	463915	6107128
706	464680	6107880
707	465496	6109312
708	466218	6109501
709	466860	6108638
710	468141	6116131
711	470164	6133274
712	470886	6133417
713	471140	6127471
714	471863	6127624
715	472711	6129402
716	473625	6132028
717	475067	6141475
718	475911	6143164
719	476555	6142269
720	477216	6141599
721	477698	6138625
722	478551	6140416
723	479297	6140829
724	479910	6139540
725	480556	6138684
726	481254	6138477
727	482514	6145433
728	484431	6160716
729	484903	6157613
730	485542	6156630
731	486401	6158430
732	487136	6158658
733	487908	6159342
734	488846	6162131
735	489888	6166202
736	490603	6166162
737	491527	6168737
738	492172	6167806
739	493099	6170410
740	494090	6173800
741	494834	6174097
742	495640	6175161
743	496453	6176306
744	497045	6174707
745	497504	6171460
746	498311	6172524
747	499036	6172575
748	499656	6171321
749	500414	6171776
750	501142	6171854
751	501751	6170477
752	502522	6171080
753	503204	6170594
754	503808	6169150
755	504544	6169328
756	505214	6168693
757	505831	6167403
758	506474	6166443
759	507103	6165313
760	507834	6165416
761	508731	6167534
762	509448	6167467
763	510120	6166853
764	510610	6164037
765	511298	6163616
766	511713	6159909
767	512429	6159827
768	513166	6159998
769	514148	6163107
770	514890	6163324
771	515557	6162646
772	516077	6160213
773	516634	6158232
774	517247	6156909
775	518076	6158167
776	518811	6158303
777	519578	6158808
778	520290	6158661
779	520467	6152196
780	521190	6152188
781	521997	6153159
782	522643	6152239
783	523323	6151720
784	524057	6151831
785	524743	6151386
786	525444	6151107
787	526353	6153259
788	527119	6153736
789	527747	6152602
790	528374	6151460
791	528682	6146598
792	529380	6146291
793	530060	6145769
794	530856	6146587
795	532244	6154243
796	533976	6165850
797	534795	6166899
798	535483	6166439
799	536178	6166056
800	536858	6165489
801	537551	6165087
802	538422	6166717
803	539029	6165320
804	539778	6165541
805	540474	6165159
806	541154	6164601
807	541811	6163777
808	542487	6163165
809	543154	6162452
810	543788	6161366
811	544577	6162040
812	545202	6160851
813	545764	6158961
814	546465	6158634
815	547537	6162484
816	548898	6169570
817	550238	6176392
818	551656	6184074
819	553255	6193767
820	554036	6194276
821	554736	6193885
822	555571	6194998
823	556267	6194549
824	556923	6193661
825	557778	6194987
826	558439	6194153
827	559135	6193705
828	560052	6195706
829	560779	6195595
830	561400	6194316
831	562184	6194837
832	562808	6193590
833	563538	6193516
834	564307	6193870
835	565223	6195821
836	566061	6196921
837	566729	6196150
838	567118	6192340
839	567836	6192116
840	568490	6191206
841	569766	6197053
842	570813	6200405
843	571623	6201165
844	572336	6200881
845	573113	6201280
846	573922	6202020
847	574769	6203169
848	575988	6208331
849	576987	6211103
850	577715	6210951
851	578476	6211157
852	579209	6211049
853	579889	6210384
854	580608	6210129
855	581317	6209779
856	581955	6208658
857	582670	6208355
858	583275	6206895
859	583851	6205116
860	584487	6203980
861	585318	6204921
862	586093	6205257
863	586879	6205706
864	587857	6208184
865	588645	6208647
866	589281	6207501
867	590215	6209506
868	590900	6208875
869	591642	6208845
870	592363	6208594
871	593185	6209397
872	593862	6208686
873	594660	6209236
874	595435	6209544
875	596091	6208607
876	596858	6208827
877	597485	6207590
878	598438	6209740
879	599367	6211622
880	599986	6210298
881	600613	6209065
882	601178	6207182
883	601873	6206649
884	602508	6205500
885	603296	6205923
886	604064	6206129
887	604769	6205698
888	605609	6206646
889	606326	6206330
890	607048	6206065
891	607594	6204001
892	608318	6203763
893	609089	6203989
894	609845	6204073
895	610641	6204554
896	611359	6204238
897	612212	6205294
898	612798	6203645
899	613495	6203123
900	614246	6203136
901	615862	6211884
902	616769	6213458
903	617581	6214076
